Park Code,Park Name,State Code,Area in Acres,Latitude,Longitude,State Name,Est Day,Est Month,Est Year
ACAD,Acadia National Park,ME,47390,44.35,-68.21,Maine,26,2,1919
ARCH,Arches National Park,UT,76519,38.68,-109.57,Utah,12,11,1971
BADL,Badlands National Park,SD,242756,43.75,-102.5,South Dakota,10,11,1978
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,Texas,12,6,1994
BISC,Biscayne National Park,FL,172924,25.65,-80.08,Florida,28,6,1980
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,Colorado,21,10,1999
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,Utah,25,2,1928
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,Utah,12,9,1964
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,Utah,18,12,1971
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,New Mexico,14,5,1930
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,California,5,3,1980
CONG,Congaree National Park,SC,26546,33.78,-80.78,South Carolina,10,11,2003
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,Oregon,22,5,1902
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,Ohio,11,10,2000
DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,Alaska,26,2,1917
DEVA,Death Valley National Park,CA,4740912,36.24,-116.82,California,11,10,2000
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,Florida,26,10,1992
EVER,Everglades National Park,FL,1508538,25.32,-80.93,Florida,30,5,1934
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,Alaska,22,2,1980
GLAC,Glacier National Park,MT,1013572,48.8,-114,Montana,11,5,1910
GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137,Alaska,11,5,1910
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,Nevada,26,2,1919
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,Arizona,26,2,1919
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,Colorado,24,9,2004
GRSM,Great Smoky Mountains National Park,TN,521490,35.68,-83.53,Tennessee,15,6,1934
GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,Wyoming,26,2,1919
GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,Texas,15,10,1966
HALE,Haleakala National Park,HI,29094,20.72,-156.17,Hawaii,1,7,1961
HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,Hawaii,1,8,1916
HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,Arkansas,4,3,1921
ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,Michigan,3,4,1940
JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,California,31,10,1994
KATM,Katmai National Park and Preserve,AK,3674530,58.5,-155,Alaska,2,12,1980
KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,Alaska,2,12,1980
KOVA,Kobuk Valley National Park,AK,1750717,67.55,-159.28,Alaska,2,12,1980
LACL,Lake Clark National Park and Preserve,AK,2619733,60.97,-153.42,Alaska,2,12,1980
LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,California,9,8,1916
MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,Kentucky,1,7,1941
MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,Colorado,29,6,1906
MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,Washington,2,3,1899
NOCA,North Cascades National Park,WA,504781,48.7,-121.2,Washington,2,10,1968
OLYM,Olympic National Park,WA,922651,47.97,-123.5,Washington,29,6,1938
PEFO,Petrified Forest National Park,AZ,93533,35.07,-109.78,Arizona,9,12,1962
PINN,Pinnacles National Park,CA,26606,36.48,-121.16,California,10,1,2013
REDW,Redwood National Park,CA,112512,41.3,-124,California,2,10,1968
ROMO,Rocky Mountain National Park,CO,265828,40.4,-105.58,Colorado,26,1,1915
SAGU,Saguaro National Park,AZ,91440,32.25,-110.5,Arizona,14,10,1994
SEKI,Sequoia and Kings Canyon National Parks,CA,865952,36.43,-118.68,California,25,9,1890
SHEN,Shenandoah National Park,VA,199045,38.53,-78.35,Virginia,26,12,1935
THRO,Theodore Roosevelt National Park,ND,70447,46.97,-103.45,North Dakota,10,11,1978
VOYA,Voyageurs National Park,MN,218200,48.5,-92.88,Minnesota,8,4,1975
WICA,Wind Cave National Park,SD,28295,43.57,-103.48,South Dakota,9,1,1903
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148,61,-142,Alaska,2,12,1980
YELL,Yellowstone National Park,WY,2219791,44.6,-110.5,Wyoming,1,3,1872
YOSE,Yosemite National Park,CA,761266,37.83,-119.5,California,1,10,1890
ZION,Zion National Park,UT,146598,37.3,-113.05,Utah,19,11,1919
