Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,Species Population
ACAD-1258,Acadia National Park,Bird,Passeriformes,Fringillidae,Loxia curvirostra,Red Crossbill,Approved,Present,Native,Abundant,Breeder,Species of Concern,146
ACAD-1266,Acadia National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,Approved,Present,Native,Abundant,Breeder,Species of Concern,114
ACAD-1388,Acadia National Park,Bird,Piciformes,Picidae,Picoides pubescens,"Downy Woodpecker, Northern Downy Woodpecker",Approved,Present,Native,Abundant,Breeder,Species of Concern,112
ACAD-1416,Acadia National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,"Double-Crested Cormorant, Northern Double-Crested Cormorant",Approved,Present,Native,Abundant,Resident,Species of Concern,199
BIBE-1110,Big Bend National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Approved,Present,Native,Abundant,Breeder,Species of Concern,140
BIBE-1156,Big Bend National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,Approved,Present,Native,Abundant,Breeder,Species of Concern,56
BIBE-1393,Big Bend National Park,Bird,Passeriformes,Troglodytidae,Campylorhynchus brunneicapillus,Cactus Wren,Approved,Present,Native,Abundant,Breeder,Species of Concern,62
BIBE-1435,Big Bend National Park,Bird,Passeriformes,Tyrannidae,Pyrocephalus rubinus,Vermilion Flycatcher,Approved,Present,Native,Abundant,Breeder,Species of Concern,195
BISC-1257,Biscayne National Park,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax auritus,Double-Crested Cormorant,Approved,Present,Native,Abundant,Breeder,Species of Concern,37
BLCA-1150,Black Canyon of the Gunnison National Park,Bird,Passeriformes,Emberizidae,Pipilo chlorurus,Green-Tailed Towhee,Approved,Present,Native,Abundant,Resident,Species of Concern,178
CANY-1022,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Antrozous pallidus,Pallid Bat,Approved,Present,Native,Abundant,Resident,Species of Concern,17
CANY-1029,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Myotis californicus,California Myotis,Approved,Present,Native,Abundant,Resident,Species of Concern,151
CANY-1036,Canyonlands National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus hesperus,Western Pipistrelle,Approved,Present,Native,Abundant,Resident,Species of Concern,125
CARE-1238,Capitol Reef National Park,Bird,Passeriformes,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Present,Native,Abundant,Breeder,Species of Concern,152
CARE-1356,Capitol Reef National Park,Fish,Cypriniformes,Cyprinidae,Snyderichthys copei,Leatherside Chub,Approved,Present,Not Native,Abundant,Breeder,Species of Concern,49
